#Threads	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	TotalTime
1 	0.1226 	0.1234 	0.1246 	0.1236 	0.1238 	0.1290 	0.1244 	0.1292 	0.1239 	0.1223 	0.1224 	0.1223 	0.1234 	0.1237 	0.1191 	0.1220 	0.1237 	0.1242 	0.1233 	0.1246 	0.1233 	0.1254 	0.1265 	0.1277 	0.1228 	0.1254 	0.1247 	0.1259 	0.1240 	0.1350 	0.1218 	0.1242 	0.1230 	0.1221 	0.1231 	0.1269 	0.1261 	0.1271 	0.1228 	0.1237 	0.1223 	0.1223 	0.1245 	0.1229 	0.1229 	0.1251 	0.1231 	0.1243 	0.1259 	0.1223 	0.1246 	0.1249 	0.1255 	0.1211 	0.1226 	0.1232 	0.1258 	0.1249 	0.1257 	0.1290 	0.1251 	0.1247 	0.1235 	0.1231 	0.1224 	0.1245 	0.1224 	0.1223 	0.1245 	0.1219 	0.1242 	0.1224 	0.1249 	0.1219 	0.1229 	0.1234 	0.1255 	0.1249 	0.1250 	0.1256 	0.1185 	0.1226 	0.1224 	0.1195 	0.1242 	0.1239 	0.1223 	0.1234 	0.1241 	0.1225 	0.1221 	0.1228 	0.1254 	0.1225 	0.1251 	0.1227 	0.1190 	0.1225 	0.1220 	0.1232 	12.3857
2 	0.0617 	0.0636 	0.0638 	0.0611 	0.0621 	0.0623 	0.0610 	0.0617 	0.0630 	0.0628 	0.0629 	0.0616 	0.0624 	0.0619 	0.0626 	0.0622 	0.0629 	0.0752 	0.0607 	0.0625 	0.0622 	0.0624 	0.0624 	0.0628 	0.0613 	0.0608 	0.0621 	0.0621 	0.0627 	0.0619 	0.0627 	0.0622 	0.0645 	0.0624 	0.0644 	0.0622 	0.0619 	0.0633 	0.0619 	0.0620 	0.0620 	0.0618 	0.0641 	0.0628 	0.0625 	0.0613 	0.0622 	0.0638 	0.0648 	0.0622 	0.0626 	0.0625 	0.0624 	0.0606 	0.0618 	0.0626 	0.0627 	0.0617 	0.0605 	0.0617 	0.0621 	0.0615 	0.0612 	0.0639 	0.0617 	0.0620 	0.0622 	0.0621 	0.0623 	0.0607 	0.0619 	0.0634 	0.0608 	0.0617 	0.0627 	0.0617 	0.0625 	0.0624 	0.0635 	0.0687 	0.0621 	0.0619 	0.0624 	0.0623 	0.0622 	0.0625 	0.0623 	0.0619 	0.0619 	0.0616 	0.0619 	0.0617 	0.0606 	0.0636 	0.0643 	0.0612 	0.0613 	0.0620 	0.0620 	0.0624 	6.2439
3 	0.0429 	0.0425 	0.0432 	0.0424 	0.0424 	0.0410 	0.0422 	0.0422 	0.0407 	0.0422 	0.0425 	0.0422 	0.0422 	0.0413 	0.0515 	0.0423 	0.0417 	0.0424 	0.0423 	0.0420 	0.0433 	0.0429 	0.0412 	0.0409 	0.0422 	0.0414 	0.0420 	0.0410 	0.0432 	0.0418 	0.0427 	0.0417 	0.0421 	0.0416 	0.0417 	0.0418 	0.0409 	0.0431 	0.0425 	0.0416 	0.0418 	0.0409 	0.0413 	0.0422 	0.0421 	0.0419 	0.0417 	0.0432 	0.0423 	0.0421 	0.0423 	0.0418 	0.0419 	0.0414 	0.0418 	0.0409 	0.0414 	0.0435 	0.0426 	0.0420 	0.0434 	0.0420 	0.0426 	0.0417 	0.0431 	0.0437 	0.0439 	0.0437 	0.0418 	0.0425 	0.0436 	0.0423 	0.0425 	0.0427 	0.0421 	0.0421 	0.0430 	0.0413 	0.0431 	0.0419 	0.0415 	0.0413 	0.0437 	0.0413 	0.0409 	0.0437 	0.0421 	0.0417 	0.0415 	0.0414 	0.0413 	0.0408 	0.0419 	0.0427 	0.0416 	0.0418 	0.0420 	0.0424 	0.0457 	0.0417 	4.2248
4 	0.0438 	0.0335 	0.0309 	0.0317 	0.0308 	0.0430 	0.0422 	0.0393 	0.0337 	0.0308 	0.0313 	0.0446 	0.0332 	0.0326 	0.0337 	0.0314 	0.0332 	0.0329 	0.0349 	0.0347 	0.0414 	0.0345 	0.0364 	0.0349 	0.0340 	0.0429 	0.0335 	0.0344 	0.0341 	0.0311 	0.0314 	0.0476 	0.0311 	0.0349 	0.0338 	0.0337 	0.0332 	0.0319 	0.0348 	0.0337 	0.0358 	0.0333 	0.0333 	0.0333 	0.0332 	0.0338 	0.0427 	0.0316 	0.0463 	0.0316 	0.0323 	0.0319 	0.0315 	0.0322 	0.0331 	0.0328 	0.0315 	0.0317 	0.0483 	0.0352 	0.0356 	0.0346 	0.0477 	0.0370 	0.0308 	0.0328 	0.0309 	0.0377 	0.0312 	0.0325 	0.0325 	0.0448 	0.0321 	0.0337 	0.0466 	0.0429 	0.0311 	0.0334 	0.0398 	0.0424 	0.0322 	0.0304 	0.0466 	0.0414 	0.0322 	0.0319 	0.0346 	0.0339 	0.0337 	0.0321 	0.0317 	0.0310 	0.0325 	0.0330 	0.0314 	0.0317 	0.0475 	0.0315 	0.0323 	0.0333 	3.5159
5 	0.0260 	0.0371 	0.0353 	0.0262 	0.0385 	0.0355 	0.0354 	0.0247 	0.0310 	0.0397 	0.0281 	0.0351 	0.0421 	0.0411 	0.0457 	0.0358 	0.0332 	0.0472 	0.0333 	0.0310 	0.0440 	0.0458 	0.0294 	0.0297 	0.0431 	0.0289 	0.0376 	0.0263 	0.0401 	0.0404 	0.0274 	0.0386 	0.0383 	0.0270 	0.0387 	0.0273 	0.0340 	0.0406 	0.0391 	0.0406 	0.0253 	0.0339 	0.0262 	0.0384 	0.0323 	0.0373 	0.0249 	0.0266 	0.0393 	0.0353 	0.0353 	0.0355 	0.0353 	0.0394 	0.0263 	0.0266 	0.0391 	0.0278 	0.0401 	0.0400 	0.0376 	0.0309 	0.0371 	0.0256 	0.0365 	0.0407 	0.0282 	0.0411 	0.0267 	0.0362 	0.0257 	0.0275 	0.0284 	0.0311 	0.0307 	0.0307 	0.0269 	0.0402 	0.0394 	0.0260 	0.0438 	0.0438 	0.0375 	0.0262 	0.0296 	0.0282 	0.0289 	0.0415 	0.0279 	0.0270 	0.0369 	0.0392 	0.0272 	0.0411 	0.0261 	0.0407 	0.0280 	0.0385 	0.0278 	0.0365 	3.4074
6 	0.0223 	0.0349 	0.0343 	0.0233 	0.0342 	0.0319 	0.0322 	0.0248 	0.0343 	0.0351 	0.0354 	0.0362 	0.0326 	0.0342 	0.0355 	0.0360 	0.0329 	0.0320 	0.0339 	0.0352 	0.0242 	0.0332 	0.0370 	0.0251 	0.0329 	0.0324 	0.0253 	0.0249 	0.0268 	0.0349 	0.0379 	0.0345 	0.0339 	0.0349 	0.0231 	0.0349 	0.0342 	0.0267 	0.0249 	0.0244 	0.0343 	0.0346 	0.0333 	0.0346 	0.0336 	0.0358 	0.0335 	0.0351 	0.0267 	0.0364 	0.0272 	0.0367 	0.0334 	0.0316 	0.0329 	0.0385 	0.0332 	0.0340 	0.0357 	0.0323 	0.0327 	0.0320 	0.0313 	0.0238 	0.0258 	0.0231 	0.0346 	0.0342 	0.0236 	0.0326 	0.0337 	0.0328 	0.0253 	0.0317 	0.0308 	0.0322 	0.0344 	0.0295 	0.0346 	0.0323 	0.0235 	0.0377 	0.0321 	0.0312 	0.0338 	0.0323 	0.0229 	0.0245 	0.0332 	0.0361 	0.0337 	0.0304 	0.0216 	0.0324 	0.0334 	0.0312 	0.0313 	0.0223 	0.0316 	0.0307 	3.1476
7 	0.0259 	0.0302 	0.0285 	0.0272 	0.0282 	0.0295 	0.0284 	0.0287 	0.0280 	0.0282 	0.0303 	0.0292 	0.0314 	0.0288 	0.0280 	0.0299 	0.0296 	0.0293 	0.0289 	0.0278 	0.0296 	0.0274 	0.0280 	0.0290 	0.0284 	0.0270 	0.0290 	0.0271 	0.0267 	0.0288 	0.0283 	0.0294 	0.0290 	0.0302 	0.0277 	0.0292 	0.0283 	0.0290 	0.0287 	0.0315 	0.0278 	0.0280 	0.0286 	0.0282 	0.0288 	0.0286 	0.0282 	0.0280 	0.0285 	0.0266 	0.0280 	0.0286 	0.0294 	0.0299 	0.0282 	0.0283 	0.0279 	0.0288 	0.0288 	0.0286 	0.0291 	0.0298 	0.0263 	0.0282 	0.0290 	0.0297 	0.0300 	0.0289 	0.0277 	0.0263 	0.0271 	0.0272 	0.0269 	0.0293 	0.0312 	0.0278 	0.0265 	0.0324 	0.0275 	0.0286 	0.0288 	0.0298 	0.0288 	0.0295 	0.0288 	0.0293 	0.0293 	0.0281 	0.0273 	0.0290 	0.0340 	0.0268 	0.0277 	0.0273 	0.0290 	0.0290 	0.0286 	0.0290 	0.0278 	0.0275 	2.8610
8 	0.0265 	0.0244 	0.0251 	0.0254 	0.0264 	0.0257 	0.0255 	0.0251 	0.0263 	0.0259 	0.0273 	0.0274 	0.0291 	0.0238 	0.0252 	0.0231 	0.0259 	0.0248 	0.0270 	0.0269 	0.0260 	0.0307 	0.0267 	0.0259 	0.0261 	0.0254 	0.0254 	0.0245 	0.0249 	0.0261 	0.0256 	0.0254 	0.0265 	0.0259 	0.0258 	0.0268 	0.0264 	0.0241 	0.0257 	0.0254 	0.0247 	0.0259 	0.0255 	0.0256 	0.0253 	0.0278 	0.0269 	0.0241 	0.0243 	0.0256 	0.0241 	0.0265 	0.0259 	0.0260 	0.0256 	0.0259 	0.0251 	0.0252 	0.0254 	0.0246 	0.0270 	0.0269 	0.0253 	0.0276 	0.0270 	0.0247 	0.0319 	0.0280 	0.0244 	0.0273 	0.0280 	0.0273 	0.0257 	0.0255 	0.0271 	0.0263 	0.0264 	0.0254 	0.0271 	0.0248 	0.0321 	0.0257 	0.0263 	0.0271 	0.0261 	0.0264 	0.0259 	0.0287 	0.0279 	0.0249 	0.0246 	0.0257 	0.0245 	0.0258 	0.0280 	0.0258 	0.0261 	0.0264 	0.0254 	0.0246 	2.6078
9 	0.0254 	0.0262 	0.0285 	0.0227 	0.0258 	0.0239 	0.0243 	0.0234 	0.0337 	0.0274 	0.0264 	0.0243 	0.0237 	0.0230 	0.0247 	0.0257 	0.0263 	0.0248 	0.0231 	0.0246 	0.0268 	0.0235 	0.0237 	0.0253 	0.0283 	0.0251 	0.0243 	0.0232 	0.0247 	0.0244 	0.0233 	0.0250 	0.0249 	0.0249 	0.0223 	0.0232 	0.0282 	0.0237 	0.0244 	0.0243 	0.0259 	0.0240 	0.0237 	0.0226 	0.0233 	0.0227 	0.0240 	0.0245 	0.0266 	0.0260 	0.0389 	0.0275 	0.0299 	0.0233 	0.0233 	0.0262 	0.0240 	0.0246 	0.0225 	0.0226 	0.0296 	0.0244 	0.0243 	0.0247 	0.0235 	0.0250 	0.0226 	0.0238 	0.0236 	0.0214 	0.0250 	0.0235 	0.0242 	0.0227 	0.0249 	0.0240 	0.0226 	0.0298 	0.0297 	0.0256 	0.0237 	0.0225 	0.0241 	0.0242 	0.0238 	0.0223 	0.0244 	0.0230 	0.0270 	0.0250 	0.0234 	0.0251 	0.0225 	0.0250 	0.0248 	0.0246 	0.0247 	0.0239 	0.0234 	0.0238 	2.4836
10 	0.0219 	0.0211 	0.0233 	0.0213 	0.0220 	0.0208 	0.0232 	0.0216 	0.0220 	0.0225 	0.0243 	0.0256 	0.0310 	0.0230 	0.0209 	0.0237 	0.0221 	0.0226 	0.0221 	0.0228 	0.0259 	0.0227 	0.0230 	0.0231 	0.0230 	0.0227 	0.0227 	0.0305 	0.0259 	0.0224 	0.0278 	0.0245 	0.0215 	0.0226 	0.0209 	0.0224 	0.0202 	0.0244 	0.0216 	0.0224 	0.0219 	0.0234 	0.0207 	0.0229 	0.0228 	0.0259 	0.0234 	0.0208 	0.0235 	0.0213 	0.0234 	0.0221 	0.0216 	0.0225 	0.0231 	0.0222 	0.0201 	0.0242 	0.0224 	0.0233 	0.0216 	0.0237 	0.0215 	0.0224 	0.0210 	0.0216 	0.0222 	0.0236 	0.0214 	0.0216 	0.0225 	0.0220 	0.0223 	0.0211 	0.0221 	0.0217 	0.0228 	0.0222 	0.0217 	0.0223 	0.0217 	0.0222 	0.0213 	0.0215 	0.0204 	0.0220 	0.0203 	0.0211 	0.0249 	0.0211 	0.0231 	0.0218 	0.0208 	0.0222 	0.0222 	0.0214 	0.0210 	0.0224 	0.0213 	0.0225 	2.2560
