#Threads	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	TotalTime
1 	0.2901 	0.2921 	0.2890 	0.2848 	0.2840 	0.2898 	0.2848 	0.2845 	0.2926 	0.2924 	0.2836 	0.2897 	0.2802 	0.2809 	0.2787 	0.2837 	0.2819 	0.2819 	0.2868 	0.2896 	0.2918 	0.2880 	0.3243 	0.2943 	0.2999 	0.2893 	0.2819 	0.2893 	0.3115 	0.2930 	8.6844
2 	0.8902 	1.7744 	1.7103 	1.2686 	1.7013 	1.6253 	1.3873 	1.4029 	1.7058 	1.6993 	1.6370 	1.5422 	1.5793 	1.5520 	1.7284 	1.0200 	1.6398 	1.4897 	1.6460 	1.5468 	1.2105 	1.6572 	1.6359 	1.4610 	1.7050 	1.6808 	1.6179 	1.1863 	1.5824 	1.8074 	46.0910
3 	1.9630 	1.9522 	1.8226 	1.3865 	1.9464 	1.7366 	1.8628 	1.8024 	1.3179 	1.6972 	1.7328 	1.9002 	1.9227 	1.7499 	1.7871 	1.7791 	1.7351 	1.7661 	1.8343 	1.3074 	1.9124 	1.9111 	1.6728 	1.8793 	1.7425 	1.8027 	1.3266 	1.7888 	1.3013 	1.0149 	51.3547
4 	1.4744 	1.9233 	1.9632 	1.8388 	1.7721 	1.7895 	1.8157 	1.8628 	1.1808 	1.8970 	1.8199 	1.8386 	1.7737 	1.9413 	1.8320 	1.8240 	1.9563 	1.9563 	1.8484 	1.8224 	1.7788 	1.7533 	1.3310 	1.8073 	1.8841 	1.7667 	1.8195 	1.7904 	1.7679 	1.8622 	53.6917
5 	1.9434 	1.9385 	1.8359 	1.7690 	1.9062 	1.8295 	1.8934 	1.8336 	1.8777 	1.8586 	1.0000 	1.9508 	1.9027 	1.2806 	1.2095 	1.9109 	1.9247 	1.8838 	1.8900 	1.8427 	1.8406 	1.8478 	2.0073 	1.8069 	1.9135 	1.9729 	1.8744 	1.8075 	1.8450 	1.9132 	54.3106
6 	1.2656 	1.9728 	1.9284 	1.0931 	1.8691 	1.8847 	1.9371 	1.0952 	1.9590 	2.0763 	1.9849 	1.9933 	1.9393 	1.9956 	1.9365 	1.2213 	1.9604 	1.2285 	1.9441 	1.9488 	1.9359 	1.2540 	2.0119 	1.9249 	1.3011 	1.9536 	1.9997 	2.0117 	1.9439 	1.9449 	53.5156
7 	1.9334 	1.9078 	1.9857 	1.9072 	1.2966 	1.9661 	1.9371 	1.8065 	1.9470 	1.1595 	1.9422 	1.9710 	1.9271 	1.9924 	1.3471 	1.2864 	1.8755 	1.9378 	1.9469 	1.9525 	1.8655 	1.8661 	1.8319 	1.9285 	1.8645 	1.8905 	1.9328 	1.9396 	1.9125 	1.9022 	54.9599
8 	1.3357 	1.8767 	1.8786 	1.7695 	1.8276 	1.3040 	1.2456 	1.7985 	1.9000 	1.8084 	1.8089 	1.8396 	1.8864 	1.7979 	1.7131 	1.8854 	1.8110 	1.2656 	1.8128 	1.6330 	1.9570 	1.8163 	1.8028 	1.7122 	1.8725 	1.7599 	1.7409 	1.8881 	1.7592 	1.7475 	52.2547
9 	1.8227 	1.8322 	1.6779 	1.6725 	1.7259 	1.8532 	1.3327 	1.6442 	1.8006 	1.7828 	1.8587 	1.7821 	1.8867 	1.7049 	1.8302 	1.8220 	1.8403 	1.8611 	1.8224 	1.8606 	1.8876 	1.6426 	1.7245 	1.7963 	1.3439 	1.7039 	1.7148 	1.8588 	1.1612 	1.8511 	52.0984
10 	1.8042 	1.8938 	1.7489 	1.3859 	1.7666 	1.4133 	1.8180 	1.8215 	1.8781 	1.1525 	1.7867 	1.7182 	1.7518 	1.6924 	1.8643 	1.8636 	1.7557 	1.3612 	1.7902 	1.7443 	1.7823 	1.8126 	1.5160 	1.7446 	1.8439 	1.8734 	1.4675 	1.8340 	1.9180 	1.7805 	51.5840
11 	1.8146 	1.7667 	1.7799 	1.8292 	1.9573 	1.7471 	1.8900 	1.7518 	1.6944 	1.2739 	1.6583 	1.6817 	1.8279 	1.7689 	1.7663 	1.6641 	1.8488 	1.7227 	1.6627 	1.8015 	1.8422 	1.8289 	1.7787 	1.6994 	1.6826 	1.7607 	1.8115 	1.8679 	1.8820 	1.7012 	52.7629
12 	2.0034 	1.7252 	1.7702 	1.8815 	1.8872 	1.9152 	1.7312 	1.7538 	1.7504 	1.1455 	1.6407 	1.8208 	1.7725 	1.7427 	1.5999 	1.6755 	1.6588 	1.6765 	1.8586 	1.8153 	1.7423 	1.7859 	1.3922 	1.8776 	1.8016 	1.6845 	1.6940 	1.8469 	1.8120 	1.8389 	52.3008
