#Threads	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	TotalTime
1 	0.2912 	0.2830 	0.2850 	0.2884 	0.2827 	0.2891 	0.2832 	0.3054 	0.2999 	0.2814 	0.2978 	0.3002 	0.2779 	0.2906 	0.2959 	0.2932 	0.3128 	0.2998 	0.2853 	0.2879 	0.2950 	0.2934 	0.3011 	0.2828 	0.2782 	0.2805 	0.2792 	0.2909 	0.2852 	0.3054 	8.7224
2 	1.6171 	1.9948 	1.7585 	1.5083 	1.7013 	1.7539 	1.7389 	1.9067 	1.2648 	1.6194 	1.9089 	1.7709 	1.7070 	1.4843 	1.8366 	1.7199 	1.5396 	1.5982 	1.4806 	1.8514 	1.5810 	1.8412 	1.5267 	1.4403 	1.7907 	1.5158 	1.1201 	1.7547 	1.8612 	1.7024 	49.8952
3 	1.8275 	1.7747 	1.6979 	1.8498 	1.8107 	1.3154 	1.8868 	1.7299 	1.8131 	1.8684 	1.7203 	1.8292 	2.0366 	1.9322 	1.1174 	1.7631 	1.7343 	1.7809 	1.9930 	1.6346 	1.7665 	1.6993 	1.7077 	1.1717 	1.7930 	1.8257 	1.7384 	1.9343 	1.8688 	1.9108 	52.5320
4 	1.9242 	1.8330 	1.9915 	1.8087 	1.8514 	1.9171 	1.9089 	1.9688 	0.9682 	2.0156 	1.9379 	1.9668 	1.9509 	0.9944 	1.1678 	1.7821 	1.8868 	1.9523 	1.9565 	1.9879 	1.9424 	1.0401 	1.9519 	1.9289 	1.8441 	2.0282 	1.9648 	1.9592 	1.8587 	1.8553 	54.1444
5 	1.9929 	1.9044 	0.9207 	2.0036 	1.1524 	1.9476 	1.9258 	1.9743 	1.8934 	2.0134 	1.9453 	1.8492 	2.0136 	2.1036 	1.9624 	1.8901 	1.9792 	1.3078 	1.9335 	1.9319 	2.1176 	1.9175 	2.0013 	1.2093 	1.9694 	1.9506 	1.1219 	2.0846 	1.8932 	1.9296 	54.8401
6 	2.0165 	1.9762 	2.0577 	2.1426 	2.0070 	2.0318 	2.0974 	2.0005 	1.3401 	2.0064 	2.1074 	2.0895 	1.2648 	2.0792 	2.2562 	2.1091 	2.0849 	2.2660 	2.1904 	2.0277 	1.1235 	2.1819 	2.1020 	2.2288 	1.9197 	1.4133 	2.0983 	2.0401 	2.1889 	1.2279 	58.6758
7 	2.0820 	2.0127 	1.2422 	2.0805 	2.0777 	1.8893 	1.3630 	1.9669 	2.0336 	1.9867 	1.2925 	1.9852 	1.9922 	2.0711 	1.9975 	1.2640 	1.2109 	2.0992 	2.0686 	2.1049 	1.3485 	2.0447 	1.9608 	2.0920 	1.9719 	1.8360 	1.1081 	2.0735 	1.9928 	2.0731 	55.3221
8 	2.0685 	1.9934 	1.3631 	2.0264 	1.3728 	1.9994 	1.9589 	1.9289 	2.0382 	1.9762 	1.9154 	1.9661 	1.1544 	2.1030 	2.0743 	2.0076 	2.0196 	2.0397 	2.0819 	1.9544 	2.0493 	1.9653 	1.9877 	1.9478 	1.9977 	1.9006 	2.0475 	1.9090 	1.9526 	1.7695 	57.5692
9 	1.9694 	2.0085 	2.0252 	1.9664 	1.3686 	1.8138 	2.0213 	1.8115 	2.0611 	2.0477 	1.8168 	1.8924 	1.8478 	1.8314 	1.9841 	1.9609 	1.7857 	2.0599 	1.8145 	1.8613 	1.9899 	1.9016 	1.8902 	2.1283 	1.9978 	1.8947 	1.9267 	1.9709 	2.0103 	1.8899 	57.5486
10 	1.9209 	1.8839 	1.8652 	1.8392 	2.1623 	2.0282 	1.3818 	2.0017 	1.8306 	1.8786 	1.9788 	1.3078 	1.9898 	1.4098 	1.8534 	1.9736 	1.8610 	1.3779 	1.9607 	1.7919 	1.8815 	1.9416 	1.9552 	1.9840 	1.8847 	2.0074 	1.9529 	1.9799 	1.9831 	2.0121 	55.8795
11 	1.8247 	1.3902 	1.8645 	1.8792 	1.8056 	1.2859 	1.3061 	1.9403 	1.8575 	1.3720 	1.8640 	1.7908 	1.9909 	1.8836 	1.7344 	2.1168 	2.1059 	2.0121 	1.9500 	1.8130 	1.8767 	1.8450 	1.8947 	1.8868 	1.8645 	2.0510 	1.9535 	1.9548 	1.8062 	1.1191 	54.0398
12 	1.8330 	1.7632 	1.6921 	1.7192 	1.9111 	1.8376 	1.7164 	1.9123 	1.6814 	1.3538 	1.8154 	1.9276 	1.7446 	1.9092 	1.8863 	1.7057 	1.7525 	1.9609 	1.1302 	1.7559 	1.9505 	1.8180 	1.9083 	1.7913 	1.8801 	1.7572 	1.7970 	1.1412 	1.9194 	1.8329 	52.8043
