#Threads	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	TotalTime
1 	0.8601 	0.8490 	0.8297 	0.8216 	0.8105 	0.8042 	0.7889 	0.7906 	0.8896 	0.8548 	8.2990
2 	1.6392 	1.4213 	1.5834 	1.6773 	1.2119 	1.4603 	1.2842 	1.7118 	1.5821 	1.6877 	15.2592
3 	2.2615 	2.4391 	2.0612 	2.1673 	2.4924 	2.8147 	2.7494 	2.8134 	2.5752 	2.3552 	24.7294
4 	3.5914 	3.2765 	3.5406 	3.8789 	3.1678 	3.4247 	3.1364 	3.3082 	2.8527 	3.6358 	33.8130
5 	4.3785 	4.3167 	5.0322 	4.0166 	4.3429 	4.4943 	5.0293 	4.7928 	4.0672 	4.2479 	44.7184
6 	4.6664 	5.2835 	5.3338 	4.7056 	4.4157 	4.4451 	5.7011 	5.5210 	5.4720 	5.8523 	51.3965
7 	6.2064 	5.6270 	5.0660 	5.8970 	5.8143 	4.5684 	5.6977 	6.2084 	4.9513 	5.6601 	55.6966
8 	6.5827 	7.0260 	6.5363 	4.9455 	5.6911 	6.5619 	6.4317 	6.3273 	4.8070 	6.2235 	61.1330
9 	7.1660 	6.9078 	6.7936 	5.9678 	5.3214 	5.8567 	5.8811 	5.9982 	6.1733 	5.7991 	61.8650
10 	7.1697 	6.9608 	6.3899 	6.2815 	5.3698 	6.0877 	5.6917 	6.4795 	7.4859 	6.0516 	63.9681
11 	6.3992 	7.6764 	5.5983 	6.8268 	7.5138 	5.6281 	7.9759 	5.5632 	7.4507 	7.3721 	68.0045
12 	8.2296 	6.8062 	7.7913 	10.3255 	8.3286 	9.8940 	9.7604 	8.3053 	7.3119 	8.2904 	85.0432
