#Threads	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	TotalTime
1 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0001 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	.0001
2 	0.0002 	0.0002 	0.0002 	0.0002 	0.0001 	0.0002 	0.0002 	0.0001 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0001 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0001 	0.0001 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0001 	0.0001 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0001 	0.0002 	0.0001 	0.0001 	0.0001 	0.0002 	0.0001 	0.0001 	0.0001 	0.0002 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0000 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0000 	0.0001 	0.0000 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0004 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0001 	0.0001 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0001 	0.0002 	0.0001 	0.0002 	0.0002 	0.0002 	.0145
3 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0003 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0003 	0.0002 	0.0002 	0.0003 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0003 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	.0204
4 	0.0003 	0.0003 	0.0003 	0.0003 	0.0002 	0.0002 	0.0002 	0.0003 	0.0002 	0.0003 	0.0003 	0.0002 	0.0003 	0.0002 	0.0002 	0.0003 	0.0003 	0.0003 	0.0003 	0.0002 	0.0003 	0.0003 	0.0003 	0.0002 	0.0002 	0.0003 	0.0002 	0.0003 	0.0003 	0.0003 	0.0003 	0.0002 	0.0003 	0.0002 	0.0002 	0.0003 	0.0002 	0.0002 	0.0002 	0.0002 	0.0003 	0.0002 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0002 	0.0002 	0.0003 	0.0002 	0.0002 	0.0002 	0.0003 	0.0003 	0.0002 	0.0003 	0.0002 	0.0003 	0.0003 	0.0003 	0.0002 	0.0002 	0.0003 	0.0002 	0.0002 	0.0003 	0.0003 	0.0003 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0010 	0.0003 	0.0002 	0.0003 	0.0002 	0.0003 	0.0003 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0001 	0.0002 	0.0002 	0.0002 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	0.0001 	.0243
5 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0004 	0.0003 	0.0003 	0.0003 	0.0003 	0.0004 	0.0003 	0.0004 	0.0003 	0.0003 	0.0003 	0.0003 	0.0004 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0005 	0.0036 	0.0004 	0.0003 	0.0015 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0004 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0004 	0.0012 	0.0003 	0.0003 	0.0003 	0.0005 	0.0004 	0.0003 	0.0003 	0.0004 	0.0005 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0002 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0002 	0.0003 	0.0003 	0.0003 	0.0002 	0.0001 	0.0002 	0.0001 	0.0001 	0.0016 	0.0002 	0.0002 	0.0002 	0.0001 	0.0001 	0.0001 	0.0001 	0.0002 	0.0001 	0.0002 	0.0004 	0.0003 	0.0017 	0.0001 	0.0001 	0.0001 	0.0002 	0.0001 	.0358
6 	0.0003 	0.0003 	0.0003 	0.0002 	0.0002 	0.0002 	0.0002 	0.0002 	0.0003 	0.0004 	0.0004 	0.0003 	0.0003 	0.0005 	0.0003 	0.0003 	0.0004 	0.0009 	0.0037 	0.0006 	0.0006 	0.0004 	0.0004 	0.0003 	0.0003 	0.0004 	0.0003 	0.0004 	0.0003 	0.0003 	0.0004 	0.0004 	0.0003 	0.0004 	0.0004 	0.0005 	0.0011 	0.0007 	0.0003 	0.0003 	0.0004 	0.0004 	0.0004 	0.0003 	0.0004 	0.0004 	0.0004 	0.0026 	0.0004 	0.0003 	0.0034 	0.0004 	0.0048 	0.0004 	0.0003 	0.0005 	0.0006 	0.0004 	0.0007 	0.0003 	0.0004 	0.0005 	0.0024 	0.0004 	0.0004 	0.0007 	0.0004 	0.0007 	0.0004 	0.0004 	0.0004 	0.0004 	0.0007 	0.0003 	0.0005 	0.0003 	0.0004 	0.0003 	0.0004 	0.0003 	0.0004 	0.0003 	0.0003 	0.0004 	0.0003 	0.0004 	0.0003 	0.0004 	0.0003 	0.0004 	0.0003 	0.0010 	0.0004 	0.0004 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	0.0003 	.0547
7 	0.0004 	0.0004 	0.0005 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0003 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0011 	0.0010 	0.0004 	0.0003 	0.0004 	0.0004 	0.0011 	0.0004 	0.0004 	0.0005 	0.0005 	0.0004 	0.0004 	0.0004 	0.0004 	0.0003 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0005 	0.0004 	0.0005 	0.0004 	0.0005 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0005 	0.0004 	0.0004 	0.0004 	0.0003 	0.0004 	0.0004 	0.0004 	0.0003 	0.0004 	0.0003 	0.0007 	0.0004 	0.0004 	0.0004 	0.0006 	0.0024 	0.0004 	0.0005 	0.0012 	0.0004 	0.0010 	0.0004 	0.0004 	0.0004 	0.0004 	0.0006 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0003 	0.0005 	0.0003 	0.0005 	0.0004 	0.0004 	0.0004 	0.0005 	0.0004 	0.0005 	0.0004 	0.0004 	.0465
8 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0020 	0.0005 	0.0004 	0.0004 	0.0004 	0.0005 	0.0005 	0.0019 	0.0005 	0.0004 	0.0005 	0.0004 	0.0016 	0.0004 	0.0004 	0.0004 	0.0005 	0.0004 	0.0004 	0.0008 	0.0004 	0.0004 	0.0004 	0.0004 	0.0008 	0.0004 	0.0005 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0005 	0.0004 	0.0004 	0.0005 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0006 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0005 	0.0005 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0005 	0.0005 	0.0004 	0.0004 	0.0004 	0.0005 	0.0005 	0.0004 	0.0004 	0.0004 	0.0008 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0005 	0.0021 	0.0004 	0.0004 	0.0027 	0.0038 	0.0004 	0.0004 	0.0005 	0.0004 	0.0004 	0.0005 	0.0006 	0.0004 	0.0004 	0.0004 	0.0004 	0.0004 	0.0012 	.0559
9 	0.0004 	0.0005 	0.0005 	0.0005 	0.0004 	0.0005 	0.0008 	0.0005 	0.0005 	0.0005 	0.0005 	0.0005 	0.0005 	0.0018 	0.0012 	0.0005 	0.0006 	0.0005 	0.0006 	0.0004 	0.0013 	0.0005 	0.0005 	0.0005 	0.0007 	0.0007 	0.0004 	0.0010 	0.0013 	0.0015 	0.0005 	0.0004 	0.0005 	0.0004 	0.0008 	0.0016 	0.0018 	0.0006 	0.0005 	0.0005 	0.0007 	0.0005 	0.0004 	0.0011 	0.0005 	0.0005 	0.0005 	0.0005 	0.0005 	0.0004 	0.0005 	0.0006 	0.0005 	0.0005 	0.0004 	0.0006 	0.0004 	0.0007 	0.0005 	0.0004 	0.0005 	0.0006 	0.0006 	0.0005 	0.0017 	0.0004 	0.0005 	0.0005 	0.0005 	0.0005 	0.0005 	0.0006 	0.0005 	0.0006 	0.0005 	0.0005 	0.0005 	0.0013 	0.0005 	0.0010 	0.0014 	0.0006 	0.0007 	0.0005 	0.0005 	0.0006 	0.0004 	0.0009 	0.0008 	0.0005 	0.0005 	0.0005 	0.0014 	0.0005 	0.0010 	0.0022 	0.0012 	0.0057 	0.0021 	0.0005 	.0742
10 	0.0009 	0.0007 	0.0013 	0.0011 	0.0007 	0.0005 	0.0010 	0.0012 	0.0006 	0.0006 	0.0022 	0.0005 	0.0007 	0.0006 	0.0011 	0.0016 	0.0017 	0.0006 	0.0018 	0.0007 	0.0007 	0.0011 	0.0006 	0.0008 	0.0005 	0.0011 	0.0006 	0.0011 	0.0006 	0.0005 	0.0005 	0.0005 	0.0005 	0.0006 	0.0009 	0.0005 	0.0010 	0.0006 	0.0007 	0.0008 	0.0005 	0.0012 	0.0023 	0.0006 	0.0006 	0.0006 	0.0006 	0.0017 	0.0007 	0.0007 	0.0009 	0.0012 	0.0016 	0.0009 	0.0006 	0.0016 	0.0010 	0.0012 	0.0011 	0.0006 	0.0008 	0.0005 	0.0007 	0.0005 	0.0006 	0.0006 	0.0007 	0.0006 	0.0008 	0.0006 	0.0006 	0.0007 	0.0023 	0.0006 	0.0024 	0.0006 	0.0011 	0.0016 	0.0033 	0.0014 	0.0017 	0.0007 	0.0014 	0.0014 	0.0014 	0.0011 	0.0007 	0.0007 	0.0018 	0.0005 	0.0016 	0.0006 	0.0006 	0.0006 	0.0006 	0.0007 	0.0025 	0.0006 	0.0010 	0.0027 	.0984
