#Threads	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	TotalTime
1 	0.2971 	0.2994 	0.2893 	0.2911 	0.3061 	0.3130 	0.3136 	0.3041 	0.3047 	0.2969 	0.2944 	0.2863 	0.2910 	0.3127 	0.2950 	0.2976 	0.2929 	0.3100 	0.2948 	0.3099 	0.2812 	0.2872 	0.2972 	0.3002 	0.2890 	0.2982 	0.2980 	0.2889 	0.2856 	0.2990 	8.9244
2 	1.5700 	1.6845 	1.7123 	1.6831 	1.6882 	1.4917 	1.6238 	1.3324 	1.7432 	1.2253 	1.6518 	1.6009 	1.6779 	1.6681 	1.8912 	1.3776 	1.6271 	1.6400 	1.3261 	1.6809 	1.5956 	1.8326 	1.5530 	1.8745 	1.9965 	1.8605 	1.7943 	1.7796 	1.7432 	1.7178 	49.6437
3 	2.0584 	1.9730 	1.3654 	1.7843 	1.9048 	2.2024 	1.8625 	1.3274 	1.7896 	1.9650 	1.8538 	1.7653 	1.7171 	1.8546 	1.8693 	2.0790 	1.8623 	1.8962 	1.8607 	2.1001 	1.8422 	1.9867 	1.8374 	1.9744 	1.9733 	1.9712 	1.7614 	1.9108 	1.7847 	1.8094 	55.9427
4 	1.9785 	2.1222 	1.8639 	1.9748 	2.0514 	1.8563 	2.1014 	1.9715 	1.9503 	2.0741 	1.8459 	0.9710 	1.2694 	2.1126 	2.1363 	1.8957 	1.9753 	1.8165 	1.8732 	1.9717 	2.1122 	1.9978 	2.0485 	1.8814 	1.8865 	1.9078 	1.9882 	2.0402 	2.0842 	2.1120 	57.8708
5 	2.2994 	2.0475 	2.0255 	2.0546 	2.0544 	1.9978 	1.2897 	2.1377 	2.3074 	2.1348 	2.1341 	2.0785 	2.1341 	2.1166 	2.0056 	2.1242 	1.9703 	1.4512 	2.3017 	2.1955 	2.0678 	1.2889 	1.9552 	2.1530 	2.2496 	1.9518 	1.9456 	1.9284 	2.0856 	1.9470 	60.4335
6 	2.2195 	2.1712 	2.1526 	2.0114 	2.0764 	2.1571 	2.2730 	2.0075 	2.1245 	2.1317 	1.2962 	2.1406 	2.5213 	2.1351 	2.1340 	2.1021 	1.2154 	2.2585 	2.1371 	2.2416 	2.1585 	2.2225 	2.1413 	1.4659 	2.1080 	2.2035 	2.0411 	2.1428 	2.1308 	2.0677 	62.1889
7 	1.8964 	2.1419 	1.3981 	2.1403 	1.3844 	2.1529 	1.9085 	1.9655 	1.9586 	2.1437 	2.0221 	2.0204 	2.0819 	1.4483 	2.1511 	2.1063 	1.9462 	1.4071 	2.1037 	1.9578 	2.1490 	1.9066 	2.1176 	2.0099 	1.9674 	2.1748 	1.3408 	1.8990 	2.0039 	2.0718 	57.9760
8 	2.1047 	1.8392 	1.9569 	1.9784 	2.0377 	1.9831 	2.0428 	2.0882 	2.1230 	2.0199 	1.9775 	2.0318 	2.1200 	1.9287 	2.2391 	2.0551 	1.2787 	1.3062 	2.1299 	1.9763 	2.1926 	1.9764 	2.1036 	1.8692 	1.2410 	2.0034 	1.9632 	2.0613 	2.0583 	1.9964 	58.6826
9 	1.8928 	1.8376 	1.7425 	1.9038 	1.9348 	1.3313 	1.9978 	1.9890 	2.0497 	1.7663 	1.3683 	1.8773 	1.7761 	2.0265 	1.2949 	2.1167 	1.2633 	1.9120 	1.8663 	1.9643 	1.2701 	2.0344 	2.0097 	1.9875 	1.8588 	2.0731 	1.8789 	1.8198 	1.9001 	1.8872 	54.6309
10 	2.0237 	1.9801 	1.8853 	1.9686 	1.9739 	2.0367 	1.9240 	1.9821 	2.0836 	2.0300 	1.8975 	1.9068 	2.0527 	2.0280 	1.8786 	1.3648 	1.9614 	1.9762 	1.1594 	1.8628 	1.3170 	1.9052 	1.8463 	2.1077 	1.4410 	2.2299 	1.4958 	2.0231 	2.0466 	1.3965 	55.7853
11 	2.0185 	1.9227 	1.9213 	1.8125 	1.7997 	2.1433 	1.9979 	2.0811 	2.0660 	1.9309 	1.7564 	1.3786 	1.8107 	1.8425 	2.0476 	1.8112 	1.1655 	1.9726 	1.9050 	1.2563 	1.9919 	1.7963 	1.7967 	1.9301 	1.8943 	1.8336 	1.7828 	2.0335 	1.7417 	1.9152 	55.3564
12 	1.9891 	1.2598 	1.7188 	1.9157 	1.2461 	1.7423 	2.0008 	1.7637 	2.0339 	1.4044 	1.8450 	1.9215 	1.9830 	1.3123 	1.8439 	2.0169 	1.8129 	1.8903 	1.7559 	1.9570 	2.0389 	1.9921 	1.1441 	1.9402 	1.8600 	1.8592 	1.7892 	1.8596 	1.7440 	1.8580 	53.4986
