#Threads	Time	Time	Time	Time	Time	Time	Time	Time	Time	Time	TotalTime
1 	0.7913 	0.7899 	0.7837 	0.7786 	0.8095 	0.8094 	0.8242 	0.7903 	0.7809 	0.7956 	7.9534
2 	1.7133 	1.2523 	1.4985 	1.5009 	1.5284 	1.2812 	1.6444 	1.2924 	1.3063 	1.5273 	14.5450
3 	2.3040 	2.4506 	2.9656 	2.4462 	2.7463 	2.4956 	2.5932 	2.8206 	3.0781 	2.1312 	26.0314
4 	3.2790 	3.9795 	3.5746 	3.6459 	3.6215 	3.8519 	3.7886 	3.7394 	3.3989 	3.5452 	36.4245
5 	4.0917 	4.3528 	3.9796 	3.9360 	4.4062 	4.3819 	4.1283 	4.2675 	4.0664 	4.4228 	42.0332
6 	5.2232 	4.3339 	5.2513 	4.0538 	5.5841 	5.7511 	5.0891 	4.7748 	5.1809 	5.4215 	50.6637
7 	4.5314 	5.9745 	4.8951 	5.1324 	4.9607 	6.1361 	6.4147 	5.8397 	4.9559 	6.0272 	54.8677
8 	6.7404 	6.6372 	4.9345 	6.5838 	6.6413 	6.4895 	6.9942 	5.6729 	4.9596 	6.4750 	62.1284
9 	7.3244 	7.7283 	7.4290 	7.1806 	6.1713 	7.1072 	6.0108 	7.1972 	6.2352 	5.8649 	68.2489
10 	7.7429 	7.8643 	6.6289 	6.6190 	7.7188 	8.0178 	7.0674 	8.1768 	7.0385 	7.5609 	74.4353
11 	9.0062 	7.4932 	7.3171 	8.5564 	6.1074 	7.4523 	8.2078 	7.3781 	8.2910 	8.3348 	78.1443
12 	9.4745 	9.4614 	8.1057 	8.4063 	8.9877 	7.9815 	10.5940 	6.3843 	9.2388 	10.4850 	89.1192
