times   len(a,b,c)
0.02052 16
0.03981 32
0.05910 48
0.07857 64
0.10614 80
0.12544 96
0.14487 112
0.16404 128
0.18334 144
0.20268 160
0.22193 176
0.24137 192
0.26054 208
0.27984 224
0.29918 240
0.31854 256
0.33774 272
0.35704 288
0.37644 304
0.39565 320
0.41511 336
0.43426 352
0.45361 368
0.47288 384
0.49214 400
0.51154 416
0.53088 432
0.55005 448
0.56946 464
0.58869 480
0.60805 496
0.62730 512
0.64664 528
0.66596 544
0.68519 560
0.70545 576
0.72493 592
0.74581 608
0.76405 624
0.78324 640
0.80105 656
0.82041 672
0.83965 688
0.85885 704
0.87824 720
0.89762 736
0.91693 752
0.93611 768
0.95542 784
0.97474 800
0.99404 816
1.01338 832
1.03272 848
1.05195 864
1.07127 880
1.09059 896
1.10993 912
1.12925 928
1.14845 944
1.16775 960
1.18709 976
1.20641 992
1.22648 1008
1.24506 1024
1.26435 1040
1.28366 1056
1.30301 1072
1.32229 1088
1.34155 1104
1.36092 1120
1.38026 1136
1.39957 1152
1.41898 1168
1.43815 1184
1.45759 1200
1.47685 1216
1.49625 1232
1.51546 1248
1.53494 1264
1.55410 1280
1.57342 1296
1.59267 1312
1.61212 1328
1.63141 1344
1.65061 1360
1.67006 1376
1.68933 1392
1.70862 1408
1.72796 1424
1.74721 1440
1.76663 1456
1.78585 1472
1.80519 1488
1.82458 1504
1.84387 1520
1.86331 1536
1.88250 1552
1.90181 1568
1.92107 1584
1.94047 1600
1.95979 1616
1.97914 1632
1.99834 1648
2.01777 1664
2.03702 1680
2.05633 1696
2.07585 1712
2.09517 1728
2.11441 1744
2.13382 1760
2.15311 1776
2.17253 1792
2.19183 1808
2.21138 1824
2.23058 1840
2.24984 1856
2.26910 1872
2.28845 1888
2.30771 1904
2.32709 1920
2.34648 1936
2.36577 1952
2.38507 1968
2.40446 1984
2.42374 2000
2.45241 2016
2.46537 2032
2.48167 2048
