times	len(a,b,c)
0.00363	16
0.00363	32
0.00362	48
0.00362	64
0.00362	80
0.00362	96
0.00362	112
0.00362	128
0.00362	144
0.00362	160
0.00362	176
0.00362	192
0.00362	208
0.00362	224
0.00362	240
0.00362	256
0.00362	272
0.00363	288
0.00363	304
0.00362	320
0.00362	336
0.00362	352
0.00362	368
0.00363	384
0.00362	400
0.00362	416
0.00363	432
0.00362	448
0.00362	464
0.00362	480
0.00362	496
0.00362	512
0.00362	528
0.00362	544
0.00362	560
0.00362	576
0.00362	592
0.00362	608
0.00362	624
0.00363	640
0.00362	656
0.00362	672
0.00362	688
0.00362	704
0.00363	720
0.00362	736
0.00362	752
0.00362	768
0.00362	784
0.00362	800
0.00362	816
0.00362	832
0.00362	848
0.00362	864
0.00362	880
0.00362	896
0.00362	912
0.00362	928
0.00362	944
0.00362	960
0.00362	976
0.00362	992
0.00362	1008
0.00362	1024
0.00362	1040
0.00362	1056
0.00362	1072
0.00362	1088
0.00362	1104
0.00362	1120
0.00362	1136
0.00362	1152
0.00362	1168
0.00362	1184
0.00362	1200
0.00362	1216
0.00362	1232
0.00362	1248
0.00362	1264
0.00362	1280
0.00362	1296
0.00362	1312
0.00362	1328
0.00362	1344
0.00362	1360
0.00362	1376
0.00362	1392
0.00362	1408
0.00362	1424
0.00362	1440
0.00362	1456
0.00362	1472
0.00362	1488
0.00362	1504
0.00362	1520
0.00362	1536
0.00362	1552
0.00362	1568
0.00362	1584
0.00362	1600
0.00362	1616
0.00362	1632
0.00362	1648
0.00362	1664
0.00362	1680
0.00362	1696
0.00362	1712
0.00362	1728
0.00362	1744
0.00362	1760
0.00362	1776
0.00362	1792
0.00362	1808
0.00362	1824
0.00362	1840
0.00362	1856
0.00362	1872
0.00362	1888
0.00362	1904
0.00362	1920
0.00362	1936
0.00362	1952
0.00362	1968
0.00362	1984
0.00362	2000
0.00362	2016
0.00362	2032
0.00362	2048
